method,top1_accuracy,margin_median,margin_mean,n_runs,n_unknown_points,n_possible_combinations,requested_sampling_iterations,used_sampling_iterations,sampling_mode,sample_size,scenario,model_type,output_dir
mahalanobis_distance,1.0,12.206363440763468,12.18016665292858,5000,20,15504,5000,5000,random_unique,15,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
single_cut_coassociation,1.0,0.0116666666666666,0.0118606666666666,5000,20,15504,5000,5000,random_unique,15,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
centroid_distance,1.0,2.2930610663479265,2.289490651175491,4845,20,4845,5000,4845,exhaustive_unique,16,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
dihs,1.0,0.6216793536810139,0.6224720539500318,4845,20,4845,5000,4845,exhaustive_unique,16,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
mahalanobis_distance,1.0,12.216390834673549,12.197434975644123,4845,20,4845,5000,4845,exhaustive_unique,16,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
single_cut_coassociation,1.0,0.0119791666666666,0.0118031905744754,4845,20,4845,5000,4845,exhaustive_unique,16,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
centroid_distance,1.0,2.2956796395419303,2.292300584395025,1140,20,1140,5000,1140,exhaustive_unique,17,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
dihs,1.0,0.6278599069704562,0.6283740615354146,1140,20,1140,5000,1140,exhaustive_unique,17,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
mahalanobis_distance,1.0,12.225383840801843,12.211274567518773,1140,20,1140,5000,1140,exhaustive_unique,17,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
single_cut_coassociation,1.0,0.0117647058823529,0.0117591159270725,1140,20,1140,5000,1140,exhaustive_unique,17,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
centroid_distance,1.0,2.297421611305863,2.2947813822542567,190,20,190,5000,190,exhaustive_unique,18,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
dihs,1.0,0.6334580398964851,0.6336491942261413,190,20,190,5000,190,exhaustive_unique,18,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
mahalanobis_distance,1.0,12.237593098237816,12.223166665538209,190,20,190,5000,190,exhaustive_unique,18,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
single_cut_coassociation,1.0,0.011574074074074,0.0117202729044834,190,20,190,5000,190,exhaustive_unique,18,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
