"dataset_size_pct","sample_size","feature_space","model","case","n_runs","margin_mean","margin_std","margin_median","true_positive_fraction"
"50","22","Coupled","kmeans","positive","600","0.46997780819846297","0.12835944888013043","0.46923127335100046","1.0"
"50","25","Coupled","agglomerative","negative","600","0.15255259360864518","0.10422839113833442","0.13498348597018492","0.0"
"50","25","Coupled","agglomerative","positive","600","0.47079841324537236","0.13090478070366474","0.48405738210020705","1.0"
"50","25","Coupled","gaussian","negative","600","0.09744076568604372","0.05799625534166583","0.08981542776762191","0.0"
"50","25","Coupled","gaussian","positive","600","0.4758172049836451","0.1085941200902945","0.5086766882022842","1.0"
"50","25","Coupled","kmeans","negative","600","0.11797644273897177","0.07154595731997852","0.11012444937550611","0.0"
"50","25","Coupled","kmeans","positive","600","0.47239719837019656","0.12795102721882265","0.4735351052433532","1.0"
"50","4","Coupled","agglomerative","negative","600","0.15399127458353795","0.11286894471674129","0.14687345789236309","0.0"
"50","4","Coupled","agglomerative","positive","600","0.360963793202464","0.15127511204921826","0.3564879186421709","0.9966666666666667"
"50","4","Coupled","gaussian","negative","600","0.08022942295510171","0.06277776900171096","0.0669230328683159","0.0"
"50","4","Coupled","gaussian","positive","600","0.2953627980981088","0.10814414317911202","0.3244298197443297","0.9883333333333333"
"50","4","Coupled","kmeans","negative","600","0.14456766882055389","0.0979546097796506","0.12982018423286745","0.0"
"50","4","Coupled","kmeans","positive","600","0.36523139195918924","0.1691799051438137","0.3654656051323829","0.9866666666666667"
"50","5","Coupled","agglomerative","negative","600","0.15020267582059482","0.11216675008776558","0.1410047427350843","0.0"
"50","5","Coupled","agglomerative","positive","600","0.38231458162904297","0.14751403328422316","0.3720845377279042","1.0"
"50","5","Coupled","gaussian","negative","600","0.0853318740834966","0.07089336469114292","0.06784800153245212","0.0"
"50","5","Coupled","gaussian","positive","600","0.3388541221836533","0.11778869994633967","0.3652603814328522","0.9883333333333333"
"50","5","Coupled","kmeans","negative","600","0.13988318006585496","0.0931961501974741","0.12643118498403275","0.0"
"50","5","Coupled","kmeans","positive","600","0.383988560439262","0.16409997182367003","0.3751298700444219","0.9883333333333333"
"50","7","Coupled","agglomerative","negative","600","0.14767239035131569","0.11346517794766756","0.11551250922145131","0.0"
"50","7","Coupled","agglomerative","positive","600","0.40853144929382673","0.14111540322846908","0.4006266199929447","1.0"
"50","7","Coupled","gaussian","negative","600","0.07592642497781885","0.061864264797454493","0.06292411081898747","0.0"
"50","7","Coupled","gaussian","positive","600","0.3550981808868576","0.106253166287338","0.37927969976199905","1.0"
"50","7","Coupled","kmeans","negative","600","0.13645591690629805","0.0858244085877839","0.12609720594575385","0.0"
"50","7","Coupled","kmeans","positive","600","0.41299488135672774","0.15640363762994755","0.4037569825078771","1.0"
"75","1","Coupled","agglomerative","negative","600","0.17491296476226192","0.10054483378576147","0.20095990942475725","0.0"
"75","1","Coupled","agglomerative","positive","600","0.19928845930653036","0.1679817926723932","0.1599704388253187","0.7933333333333333"
"75","1","Coupled","gaussian","negative","600","0.07909790492401912","0.06874335186646283","0.05946995864353905","0.0"
"75","1","Coupled","gaussian","positive","600","0.17410150511609748","0.11017730566172826","0.1809822351273837","0.8016666666666666"
"75","1","Coupled","kmeans","negative","600","0.13414736092709112","0.10629680626720009","0.11868166563123503","0.0"
"75","1","Coupled","kmeans","positive","600","0.20737450596454104","0.14727519461231456","0.19893725548468472","0.7"
"75","10","Coupled","agglomerative","negative","600","0.13513171369458513","0.09014822801114057","0.11630890107985226","0.0"
"75","10","Coupled","agglomerative","positive","600","0.4538357371758783","0.15038230147143983","0.4246762355975583","1.0"
"75","10","Coupled","gaussian","negative","600","0.0749040134892534","0.06031793905324569","0.059911289870761886","0.0"
"75","10","Coupled","gaussian","positive","600","0.4031178700286367","0.11059562553021166","0.43026761830904436","1.0"
"75","10","Coupled","kmeans","negative","600","0.1215994353582059","0.07771847415111238","0.11344042806877011","0.0"
"75","10","Coupled","kmeans","positive","600","0.4010639844293181","0.13341606044823837","0.3989137047224054","1.0"
"75","12","Coupled","agglomerative","negative","600","0.13617979196549526","0.08603220280184383","0.11830392082214415","0.0"
"75","12","Coupled","agglomerative","positive","600","0.4684494231166022","0.14823315824504513","0.44993317999268945","1.0"
"75","12","Coupled","gaussian","negative","600","0.06912387899453724","0.05509401823934182","0.05663485313995087","0.0"
"75","12","Coupled","gaussian","positive","600","0.3999055085859119","0.10841361582305117","0.43075362908775194","1.0"
"75","12","Coupled","kmeans","negative","600","0.1388981505101182","0.08867073351261054","0.129663841453141","0.0"
"75","12","Coupled","kmeans","positive","600","0.40822042030363437","0.13352713457640175","0.4194064232634802","1.0"
"75","15","Coupled","agglomerative","negative","600","0.13863434385549753","0.09869352368062","0.11428126080727677","0.0"
"75","15","Coupled","agglomerative","positive","600","0.48296448967004596","0.1509154817993337","0.46038621541259983","1.0"
"75","15","Coupled","gaussian","negative","600","0.08034782689856981","0.05973785746993919","0.0695622262568861","0.0"
"75","15","Coupled","gaussian","positive","600","0.43942240086372153","0.11073344777768003","0.46992587044162965","1.0"
"75","15","Coupled","kmeans","negative","600","0.1492420484309134","0.08668917386206722","0.14767064106087677","0.0"
"75","15","Coupled","kmeans","positive","600","0.4138228264531361","0.13167211767223977","0.428090717602011","1.0"
"75","18","Coupled","agglomerative","negative","600","0.1388427214959587","0.09353675682836361","0.12656578098021526","0.0"
"75","18","Coupled","agglomerative","positive","600","0.49523167328267836","0.14775214214972052","0.48261898732544944","1.0"
"75","18","Coupled","gaussian","negative","600","0.07810898722028072","0.055114009955207606","0.06731007003626682","0.0"
"75","18","Coupled","gaussian","positive","600","0.4551487633998824","0.10790684406909407","0.48582732097559256","1.0"
"75","18","Coupled","kmeans","negative","600","0.1508013976325241","0.08293676512376122","0.14485471383377949","0.0"
"75","18","Coupled","kmeans","positive","600","0.42202473963429954","0.12256555348237944","0.44622566652512874","1.0"
"75","2","Coupled","agglomerative","negative","600","0.16244327864003638","0.10481255965836972","0.17667725574774545","0.0"
"75","2","Coupled","agglomerative","positive","600","0.2733622483668415","0.16605264417330945","0.24575754658374183","0.94"
"75","2","Coupled","gaussian","negative","600","0.08759803451214375","0.07119530823428824","0.06478339871129271","0.0"
"75","2","Coupled","gaussian","positive","600","0.25821753019285154","0.12329575967220816","0.27792649466877606","0.9283333333333333"
"75","2","Coupled","kmeans","negative","600","0.13444828303547182","0.104942454419983","0.11206505841414985","0.0"
"75","2","Coupled","kmeans","positive","600","0.26863084806782983","0.15450835108412092","0.25949389817586277","0.8983333333333333"
"75","20","Coupled","agglomerative","negative","600","0.1397752735066613","0.09845952951152784","0.1129120949369335","0.0"
"75","20","Coupled","agglomerative","positive","600","0.5001732683650889","0.14672956017483035","0.4816176575470059","1.0"
"75","20","Coupled","gaussian","negative","600","0.08764298944031654","0.05910246469144432","0.07342240414909705","0.0"
"75","20","Coupled","gaussian","positive","600","0.463799620151849","0.11097398494297055","0.4957698747214905","1.0"
"75","20","Coupled","kmeans","negative","600","0.14675573727950833","0.08544025867411634","0.14236438932959466","0.0"
"75","20","Coupled","kmeans","positive","600","0.419173420030853","0.1252079523566487","0.44828145873964786","1.0"
"75","22","Coupled","agglomerative","negative","600","0.1399060496589915","0.09909970403783466","0.11452890995877149","0.0"
"75","22","Coupled","agglomerative","positive","600","0.5045187889815281","0.1506920596604202","0.4921102229085826","1.0"
