"dataset_size_pct","sample_size","feature_space","model","source_class_key","case","n_runs","margin_mean","margin_std","margin_median","top1_true_fraction"
"100","18","Coupled","gaussian","VV","positive","100","0.3174665760562935","0.03116231095289892","0.32030357839070944","1.0"
"100","18","Coupled","kmeans","AI","negative","100","0.06851302076078189","0.06496448649652041","0.05031447789739371","0.0"
"100","18","Coupled","kmeans","AI","positive","100","0.40559895418879194","0.05699956466322457","0.4174690842142097","1.0"
"100","18","Coupled","kmeans","EV","negative","100","0.1553354741405652","0.12469438992977035","0.22089384130468911","0.0"
"100","18","Coupled","kmeans","EV","positive","100","0.6637999318025121","0.06055883815668532","0.6869697580410492","1.0"
"100","18","Coupled","kmeans","PF","negative","100","0.07780108117905579","0.05089113242661156","0.07734668016358409","0.0"
"100","18","Coupled","kmeans","PF","positive","100","0.2968714327070803","0.06238839995985718","0.2877494924794139","1.0"
"100","18","Coupled","kmeans","PI","negative","100","0.08782030543346839","0.06415730610605222","0.0759398071716948","0.0"
"100","18","Coupled","kmeans","PI","positive","100","0.5153938348801559","0.04607219390995194","0.5262857872439167","1.0"
"100","18","Coupled","kmeans","RMP","negative","100","0.11023736897841482","0.06192259911449458","0.1053042780934311","0.0"
"100","18","Coupled","kmeans","RMP","positive","100","0.35312879529909225","0.046858898992663586","0.35932662433675455","1.0"
"100","18","Coupled","kmeans","VV","negative","100","0.1067307692562946","0.045902515489226296","0.11588942187158607","0.0"
"100","18","Coupled","kmeans","VV","positive","100","0.38698034333596537","0.04606342699592127","0.393133977247072","1.0"
"100","2","Coupled","agglomerative","AI","negative","100","0.14926462607373978","0.16465999235009973","0.07482621021269276","0.0"
"100","2","Coupled","agglomerative","AI","positive","100","0.2218037233077709","0.07402887004077242","0.23185165269918567","0.97"
"100","2","Coupled","agglomerative","EV","negative","100","0.20765699826782402","0.0462200934777351","0.21561177966430392","0.0"
"100","2","Coupled","agglomerative","EV","positive","100","0.4269666328313748","0.06760031373573502","0.4473452602217416","1.0"
"100","2","Coupled","agglomerative","PF","negative","100","0.12661856119782489","0.08613513412934776","0.11601615731992271","0.0"
"100","2","Coupled","agglomerative","PF","positive","100","0.08810588795895996","0.06124966737027642","0.07239217510172377","0.7"
"100","2","Coupled","agglomerative","PI","negative","100","0.1070075098704364","0.04371606084636107","0.1201221611375837","0.0"
"100","2","Coupled","agglomerative","PI","positive","100","0.2252709925466929","0.07624312073492026","0.25829890068341316","0.89"
"100","2","Coupled","agglomerative","RMP","negative","100","0.07905795642964226","0.057601879109826164","0.0685758251553604","0.0"
"100","2","Coupled","agglomerative","RMP","positive","100","0.1854369245813149","0.07459962359635317","0.18928689562691875","0.94"
"100","2","Coupled","agglomerative","VV","negative","100","0.1018041064003162","0.03109152534859951","0.10360183831716818","0.0"
"100","2","Coupled","agglomerative","VV","positive","100","0.17892814836844434","0.07108452517090551","0.19858859344821791","0.9"
"100","2","Coupled","gaussian","AI","negative","100","0.03748469269069792","0.029778744372989746","0.02977150433527384","0.0"
"100","2","Coupled","gaussian","AI","positive","100","0.18781842681548405","0.058819888681109656","0.19908015025867085","0.95"
"100","2","Coupled","gaussian","EV","negative","100","0.039426193253707574","0.06250847984924224","0.01708584248928828","0.0"
"100","2","Coupled","gaussian","EV","positive","100","0.24496212468753104","0.07780462898494658","0.2537486818416175","0.98"
"100","2","Coupled","gaussian","PF","negative","100","0.06576164606599598","0.05712678981057038","0.04958365757193714","0.0"
"100","2","Coupled","gaussian","PF","positive","100","0.0660670227940437","0.042001596527677855","0.06098881057946513","0.74"
"100","2","Coupled","gaussian","PI","negative","100","0.05417920537676111","0.036619050771209895","0.04670855942281657","0.0"
"100","2","Coupled","gaussian","PI","positive","100","0.2097435184531426","0.081550180076224","0.23550341093124566","0.97"
"100","2","Coupled","gaussian","RMP","negative","100","0.021074522328279385","0.027633877630054596","0.01252713549905965","0.0"
"100","2","Coupled","gaussian","RMP","positive","100","0.15229998958398683","0.0569149438751406","0.15611316225026128","1.0"
"100","2","Coupled","gaussian","VV","negative","100","0.042152771647504174","0.023220379466586036","0.0452834183705607","0.0"
"100","2","Coupled","gaussian","VV","positive","100","0.20365031598581468","0.07537168605332278","0.2332619900288342","0.91"
"100","2","Coupled","kmeans","AI","negative","100","0.06671977501268471","0.06941212393666564","0.048667155781879884","0.0"
"100","2","Coupled","kmeans","AI","positive","100","0.1930272588061588","0.07622525139163697","0.20326676219232126","0.96"
"100","2","Coupled","kmeans","EV","negative","100","0.1593434207833098","0.11653696413377017","0.1848899307803439","0.0"
"100","2","Coupled","kmeans","EV","positive","100","0.4621712328678742","0.0755084006746038","0.48396563373374474","1.0"
"100","2","Coupled","kmeans","PF","negative","100","0.09175238201397792","0.06190712928645708","0.08138154989524442","0.0"
"100","2","Coupled","kmeans","PF","positive","100","0.10597548965611905","0.0736703222954901","0.09887362496242258","0.74"
"100","2","Coupled","kmeans","PI","negative","100","0.1469230194445894","0.08719834288710694","0.18079081752000664","0.0"
"100","2","Coupled","kmeans","PI","positive","100","0.25062020342810226","0.10492492232713518","0.30452177137558917","0.89"
"100","2","Coupled","kmeans","RMP","negative","100","0.1417200877058486","0.07654443085764326","0.15837800681954534","0.0"
"100","2","Coupled","kmeans","RMP","positive","100","0.12709985946539218","0.06422061669848077","0.11452479088192723","0.96"
"100","2","Coupled","kmeans","VV","negative","100","0.046138073037866115","0.023694498631517128","0.04395599998894553","0.0"
"100","2","Coupled","kmeans","VV","positive","100","0.23148030188508645","0.08105168409877227","0.24820692241785952","0.96"
"100","20","Coupled","agglomerative","AI","negative","100","0.06844943482087323","0.06158604365447685","0.055554044839395494","0.0"
"100","20","Coupled","agglomerative","AI","positive","100","0.4126235808041152","0.04908352539448278","0.4122747362236828","1.0"
"100","20","Coupled","agglomerative","EV","negative","100","0.16381617866419382","0.06940816938536314","0.12336450261233722","0.0"
"100","20","Coupled","agglomerative","EV","positive","100","0.6201922091923636","0.07559016974401898","0.6661046882805193","1.0"
"100","20","Coupled","agglomerative","PF","negative","100","0.10341692980027622","0.0705131357697372","0.09037881261614575","0.0"
"100","20","Coupled","agglomerative","PF","positive","100","0.245970867531532","0.036720572904810275","0.25148432360813566","1.0"
"100","20","Coupled","agglomerative","PI","negative","100","0.04545003887385787","0.032049749081086445","0.0350376636779547","0.0"
"100","20","Coupled","agglomerative","PI","positive","100","0.5207757545942231","0.03380608701013245","0.5307581457574475","1.0"
"100","20","Coupled","agglomerative","RMP","negative","100","0.05842858458269031","0.04169416701204028","0.05143289625594427","0.0"
"100","20","Coupled","agglomerative","RMP","positive","100","0.40408662110939825","0.03758179880030845","0.4046010813123794","1.0"
"100","20","Coupled","agglomerative","VV","negative","100","0.05535933105965655","0.0392269689437698","0.05275038611702729","0.0"
"100","20","Coupled","agglomerative","VV","positive","100","0.3319800009559541","0.03502885907285507","0.3346862222066724","1.0"
