"dataset_size_pct","sample_size","feature_space","model","integration_depth","target_precision","resolvedness_threshold","precision_above_threshold","coverage_above_threshold","n_runs_above_threshold","n_total_runs","n_valid_runs","n_eligible_classes","min_runs_above_threshold","common_depth_level"
"75","12","Coupled","gaussian","11","0.95","0.17753781239465022","0.9506578947368421","0.5066666666666667","608","1200","1200","6","1","11"
"75","12","Coupled","kmeans","10","0.95","0.3108142021559528","0.95","0.4","480","1200","1200","6","1","10"
"75","15","Coupled","agglomerative","10","0.95","0.30882633127630627","0.954225352112676","0.47333333333333333","568","1200","1200","6","1","10"
"75","15","Coupled","gaussian","10","0.95","0.19532008269272305","0.9513776337115073","0.5141666666666667","617","1200","1200","6","1","10"
"75","15","Coupled","kmeans","10","0.95","0.30791377826479094","0.9507186858316222","0.4058333333333333","487","1200","1200","6","1","10"
"75","18","Coupled","agglomerative","10","0.95","0.29736211952925895","0.9529411764705882","0.49583333333333335","595","1200","1200","6","1","10"
"75","18","Coupled","gaussian","10","0.95","0.18209209293553308","0.9506369426751592","0.5233333333333333","628","1200","1200","6","1","10"
"75","18","Coupled","kmeans","10","0.95","0.3025493720589967","0.9512195121951219","0.41","492","1200","1200","6","1","10"
"75","2","Coupled","agglomerative","10","0.95","0.47015373696119156","0.9509803921568627","0.085","102","1200","1200","6","1","10"
"75","2","Coupled","gaussian","9","0.95","0.276011412057365","0.9501557632398754","0.2675","321","1200","1200","6","1","9"
"75","2","Coupled","kmeans","10","0.95","0.37063052664302865","0.9515151515151515","0.1375","165","1200","1200","6","1","10"
"75","20","Coupled","agglomerative","10","0.95","0.30098650674204264","0.9515050167224081","0.49833333333333335","598","1200","1200","6","1","10"
"75","20","Coupled","gaussian","10","0.95","0.18971399108072473","0.9505582137161085","0.5225","627","1200","1200","6","1","10"
"75","20","Coupled","kmeans","10","0.95","0.3084270156317719","0.9504132231404959","0.4033333333333333","484","1200","1200","6","1","10"
"75","22","Coupled","agglomerative","10","0.95","0.30538006328316347","0.9514237855946399","0.4975","597","1200","1200","6","1","10"
"75","22","Coupled","gaussian","10","0.95","0.2168646302359169","0.9502407704654896","0.5191666666666667","623","1200","1200","6","1","10"
"75","22","Coupled","kmeans","11","0.95","0.28844340868009355","0.9508506616257089","0.44083333333333335","529","1200","1200","6","1","11"
"75","25","Coupled","agglomerative","10","0.95","0.3092441999119736","0.9504132231404959","0.5041666666666667","605","1200","1200","6","1","10"
"75","25","Coupled","gaussian","11","0.95","0.18592542161617406","0.9508716323296355","0.5258333333333334","631","1200","1200","6","1","11"
"75","25","Coupled","kmeans","10","0.95","0.31734200163545856","0.9513742071881607","0.39416666666666667","473","1200","1200","6","1","10"
"75","4","Coupled","agglomerative","10","0.95","0.30544186549698904","0.9513513513513514","0.30833333333333335","370","1200","1200","6","1","10"
"75","4","Coupled","gaussian","10","0.95","0.2134572757731359","0.9515151515151515","0.4125","495","1200","1200","6","1","10"
"75","4","Coupled","kmeans","10","0.95","0.3264164276074696","0.9506578947368421","0.25333333333333335","304","1200","1200","6","1","10"
"75","5","Coupled","agglomerative","10","0.95","0.28983609102839564","0.9515418502202643","0.37833333333333335","454","1200","1200","6","1","10"
"75","5","Coupled","gaussian","10","0.95","0.22273343943440302","0.950592885375494","0.4216666666666667","506","1200","1200","6","1","10"
"75","5","Coupled","kmeans","10","0.95","0.34436846213617966","0.95","0.25","300","1200","1200","6","1","10"
"75","7","Coupled","agglomerative","10","0.95","0.298499392393112","0.9567779960707269","0.4241666666666667","509","1200","1200","6","1","10"
"75","7","Coupled","gaussian","10","0.95","0.207453310096344","0.9507299270072993","0.45666666666666667","548","1200","1200","6","1","10"
"75","7","Coupled","kmeans","10","0.95","0.31725852331452253","0.9519450800915332","0.3641666666666667","437","1200","1200","6","1","10"
